1.51793,12.79,0.64,8.77,1
1.51643,12.16,0.57,8.53,3
1.51793,13.21,0.59,8.43,1
1.51299,14.4,0,7.59,6
1.53393,12.3,0.12,16.19,2
1.51655,12.75,0.57,8.79,2
1.51779,13.64,0.06,8.93,3
1.51837,13.14,0.55,9.07,1
1.51545,14.14,0.08,9.07,7
1.51789,13.19,0.55,8.44,2
1.51625,13.36,0.45,8.21,2
1.51743,12.2,0.62,8.9,2
1.52223,13.21,0.13,10.02,1
1.52121,14.03,0.11,9.65,3
1.51665,13.14,0.6,8.38,3
1.51707,13.48,0.62,7.99,2
1.51719,14.75,0,8.53,7
1.51629,12.71,0.67,8.24,2
1.51994,13.27,0.47,11.32,5
1.51811,12.96,0.6,8.79,2
1.52152,13.05,0.19,9.85,1
1.52475,11.45,0.81,13.24,2
1.51841,12.93,0.64,8.96,2
1.51754,13.39,0.57,8.27,1
1.52058,12.85,0.76,9.7,5
1.51569,13.24,0.38,8.03,2
1.5159,12.82,0.69,7.97,2
1.51683,14.56,0,8.52,7
1.51687,13.23,0.56,8.1,2
1.5161,13.33,0.56,8.33,3
1.51674,12.87,0.65,7.99,2
1.51832,13.33,0.56,8.99,3
1.51115,17.38,0,6.65,6
1.51645,13.44,0.66,8.03,2
1.51755,13,0.57,8.4,1
1.51571,12.72,0.67,8.09,1
1.51596,12.79,0.64,8.07,1
1.5173,12.35,0.7,9.23,2
1.51662,12.85,0.68,8.23,2
1.51409,14.25,1.1,7.08,2
1.51797,12.74,0.64,8.68,1
1.51806,13,0.56,8.38,2
1.51627,13,0.61,8.04,2
1.5159,13.24,0.39,8.22,2
1.51934,13.64,0.16,8.89,3
1.51755,12.71,0.59,8.64,1
1.51514,14.01,1.68,5.87,5
1.51766,13.21,0.57,8.22,1
1.51784,13.08,0.6,8.49,1
1.52177,13.2,0.54,8.52,2
1.51753,12.57,0.6,8.55,1
1.51851,13.2,0.57,8.41,2
1.51743,13.3,0.58,8.17,1
1.51593,13.09,0.67,7.83,2
1.5164,14.37,0,9.45,7
1.51735,13.02,0.54,8.44,1
1.52247,14.86,0.76,9.76,7
1.52099,13.69,0.09,9.4,1
1.51769,13.65,0.11,8.6,3
1.51846,13.41,0.51,8.28,2
1.51848,13.64,0.54,8.32,2
1.51905,13.6,0.14,8.76,1
1.51567,13.29,0.56,8.57,1
1.52213,14.21,0.11,9.57,1
1.5232,13.72,0.09,10.06,1
1.51556,13.87,0.14,9.41,7
1.51926,13.2,0.6,9.14,1
1.52211,14.19,0.23,9.14,3
1.53125,10.73,0.58,13.3,2
1.52152,13.05,0.19,9.85,1
1.51829,14.46,0,9.26,6
1.51892,13.46,0.57,8.21,2
1.51888,14.99,0,9.95,6
1.51829,13.24,0.55,8.31,2
1.523,13.31,0.12,10.17,1
1.51652,13.56,0.64,7.96,2
1.51768,12.56,0.57,8.54,1
1.51215,12.99,0.62,8.35,1
1.51646,13.04,0.52,8.58,3
1.51721,12.87,0.56,8.43,1
1.51763,12.8,0.6,8.56,1
1.51742,13.27,0.55,8.07,1
1.52127,14.32,0,9.49,3
1.51779,13.21,0.59,8.59,1
1.52171,11.56,0.47,11.41,5
1.518,13.71,0.54,8.21,2
1.52777,12.64,0.06,14.4,2
1.5175,12.82,0.54,8.52,1
1.51764,12.98,0.65,8.53,1
1.52177,13.75,0.33,11.14,2
1.51645,14.94,0,8.67,7
1.51786,12.73,0.62,8.76,1
1.52152,13.12,0.23,9.82,1
1.51937,13.79,0,9.77,6
1.51514,14.85,0,8.39,7
1.52172,13.48,0.18,9.61,1
1.51732,14.95,0,8.61,7
1.5202,13.98,0.39,10.56,2
1.51605,12.9,0.44,8.27,2
1.51847,13.1,0.6,8.43,2
1.51761,13.89,0.48,7.83,1
1.51673,13.3,0.65,8.03,2
1.52365,15.79,0.31,8.61,7
1.51685,14.92,0,8.4,7
1.51658,14.8,0,8.28,7
1.51316,13.02,6.21,6.96,5
1.51709,13,0.66,8.18,2
1.51727,14.7,0,8.95,7
1.51898,13.58,0.59,8.91,1
1.51969,12.64,0.38,11.53,5
1.5182,12.62,0.35,9.42,2
1.51617,14.95,0,8.71,7
1.51911,13.9,0.06,8.89,1
1.51651,14.38,0,8.48,7
1.51694,12.86,0.61,8.79,3
1.52315,13.44,0.6,8.83,7
1.52068,13.55,0.53,9.57,2
1.51838,14.32,1.46,5.79,7
1.51818,13.72,0,10.99,2
1.51769,12.45,0.56,9.06,1
1.5166,12.99,0.58,8.81,2
1.51589,12.88,0.69,8.05,1
1.5241,13.83,0.08,10.79,2
1.52725,13.8,0.08,11.64,2
1.52119,12.97,0.13,11.27,5
1.51748,12.86,0.54,8.38,1
1.51653,11.95,2.7,8.93,7
1.51623,14.14,0.08,9.18,7
1.52101,13.64,0.06,8.75,1
1.51763,12.61,0.58,8.5,1
1.51596,13.02,0.72,7.9,2
1.51674,12.79,0.66,7.9,2
1.52065,14.36,0,8.44,7
1.51768,12.65,0.61,8.69,1
1.52369,13.44,0.32,12.24,5
1.51756,13.15,0.57,8.24,1
1.51754,13.48,0.59,8.03,1
1.51711,12.89,0.61,8.11,2
1.5221,13.73,0.17,9.74,1
1.51594,13.09,0.68,8.05,2
1.51784,12.68,0.61,8.7,1
1.51909,13.89,0.51,8.78,1
1.51977,13.81,0.12,8.67,1
1.51666,12.86,0.97,10.17,5
1.51631,13.34,0.61,7.89,2
1.51872,12.93,0.58,8.55,2
1.51708,13.72,0.64,7.88,2
1.52081,13.78,0.49,9.85,2
1.51574,14.86,0.16,7.36,2
1.51813,13.43,0.58,8.15,2
1.51131,13.69,1.76,5.43,7
1.52227,14.17,0,9.69,1
1.52614,13.7,0.19,13.44,2
1.51811,13.33,0.52,8.12,2
1.51655,13.41,0.52,8.65,3
1.51751,12.81,0.62,8.59,1
1.51508,15.15,0,8.34,7
1.51915,12.73,0.6,10.09,5
1.51966,14.77,0.03,9,1
1.51844,13.25,0.58,8.42,2
1.52664,11.23,0,14.68,2
1.52172,13.51,0.23,9.54,1
1.51602,14.85,0,8.76,7
1.51321,13,6.21,6.93,5
1.52739,11.02,0,14.96,2
1.52213,14.21,0.11,9.57,1
1.51747,12.84,0.56,8.55,1
1.51839,12.85,0.62,8.68,2
1.51646,13.41,0.68,8.1,2
